	Protein	Protein ID	Protein entry name	Gene name	Protein length	Organism	Protein Existence	Protein name	Protein Probability	Top Peptide Probability	Total peptides	Spectral count Combined	Unique spectral count Combined	Total spectral count Combined	Spectral count Ctrl_acetylated_1	Spectral count Ctrl_acetylated_2	Spectral count Ctrl_acetylated_3	Spectral count GFP_Atg8_acetylated_1	Spectral count GFP_Atg8_acetylated_2	Spectral count GFP_Atg8_acetylated_3	Unique spectral count Ctrl_acetylated_1	Unique spectral count Ctrl_acetylated_2	Unique spectral count Ctrl_acetylated_3	Unique spectral count GFP_Atg8_acetylated_1	Unique spectral count GFP_Atg8_acetylated_2	Unique spectral count GFP_Atg8_acetylated_3	Total spectral count Ctrl_acetylated_1	Total spectral count Ctrl_acetylated_2	Total spectral count Ctrl_acetylated_3	Total spectral count GFP_Atg8_acetylated_1	Total spectral count GFP_Atg8_acetylated_2	Total spectral count GFP_Atg8_acetylated_3	Intensity Ctrl_acetylated_1	Intensity Ctrl_acetylated_2	Intensity Ctrl_acetylated_3	Intensity GFP_Atg8_acetylated_1	Intensity GFP_Atg8_acetylated_2	Intensity GFP_Atg8_acetylated_3	LFQ intensity Ctrl_acetylated_1	LFQ intensity Ctrl_acetylated_2	LFQ intensity Ctrl_acetylated_3	LFQ intensity GFP_Atg8_acetylated_1	LFQ intensity GFP_Atg8_acetylated_2	LFQ intensity GFP_Atg8_acetylated_3	Indistinguishable Proteins	Protein reported by software	Representative protein	Potential contaminant	Leading proteins	Leading potential contaminants	Molecular weight [kDa]	Fasta header	iBAQ peptides	iBAQ intensity Ctrl_acetylated_1	iBAQ intensity Ctrl_acetylated_2	iBAQ intensity Ctrl_acetylated_3	iBAQ intensity GFP_Atg8_acetylated_1	iBAQ intensity GFP_Atg8_acetylated_2	iBAQ intensity GFP_Atg8_acetylated_3	Sequence coverage	Valid	Expression Ctrl_acetylated_1	Expression Ctrl_acetylated_2	Expression Ctrl_acetylated_3	Expression GFP_Atg8_acetylated_1	Expression GFP_Atg8_acetylated_2	Expression GFP_Atg8_acetylated_3	Missing total	Missing Ctrl_acetylated	Missing GFP_Atg8_acetylated	Missing Ctrl_acetylated_1	Missing Ctrl_acetylated_2	Missing Ctrl_acetylated_3	Missing GFP_Atg8_acetylated_1	Missing GFP_Atg8_acetylated_2	Missing GFP_Atg8_acetylated_3	Events total	Events Ctrl_acetylated	Events GFP_Atg8_acetylated	Expression Ctrl_acetylated	Expression GFP_Atg8_acetylated	P-value GFP_Atg8_acetylated vs Ctrl_acetylated	Adjusted p-value GFP_Atg8_acetylated vs Ctrl_acetylated	Average expression GFP_Atg8_acetylated vs Ctrl_acetylated	Ratio [log2] GFP_Atg8_acetylated vs Ctrl_acetylated
10	sp|P00549|KPYK1_YEAST	P00549	KPYK1_YEAST	CDC19	500	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Pyruvate kinase 1	1.0	0.999	30	373	351	373	59	60	60	58	77	59	55	57	56	55	73	55	59	60	60	58	77	59	3353444900.0	2499556900.0	2346173400.0	2594391600.0	4257240600.0	2342145500.0	470332160.0	347629920.0	318717920.0	365517760.0	573579400.0	309205660.0		P00549	P00549	False	P00549	False	54.51	sp|P00549|KPYK1_YEAST Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2	28	1402274555.0108364	804041650.9272075	759881453.5293934	875935363.0014497	1398156481.391448	770342000.5091507	56.4	True	28.358048419622037	28.5258518644988	28.57207459929507	28.581266861828833	28.626271919394064	28.511048713705257	0	0	0	False	False	False	False	False	False	6	3	3	28.485324961138634	28.572862498309387	0.452430006470667	0.9965342103788666	28.52909372972401	0.08753753717075341
11	sp|P00560|PGK_YEAST	P00560	PGK_YEAST	PGK1	416	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Phosphoglycerate kinase	1.0	0.999	27	290	290	290	44	50	45	44	59	48	44	50	45	44	59	48	44	50	45	44	59	48	2847196000.0	2129637500.0	1390577000.0	1963686000.0	2817078000.0	1946256500.0	331491230.0	229895180.0	174537550.0	225539040.0	327524130.0	232332180.0		P00560	P00560	False	P00560	False	44.71	sp|P00560|PGK_YEAST Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2	27	1234677434.1856277	710420478.459554	467062551.2720575	687547712.3703101	959446414.5693707	663840965.6317295	57.0	True	27.853339139200994	27.929275825063552	27.70333191315385	27.88470253584158	27.81787990817816	28.098670979339044	0	0	0	False	False	False	False	False	False	6	3	3	27.828648959139468	27.933751141119597	0.4322130702277115	0.9965342103788666	27.881200050129532	0.10510218198012922
12	sp|P00812|ARGI_YEAST	P00812	ARGI_YEAST	CAR1	333	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Arginase	0.909	0.9974	1	2	2	2	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		P00812	P00812	False	P00812	False	35.64	sp|P00812|ARGI_YEAST Arginase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAR1 PE=1 SV=1	15	0.0	0.0	0.0	0.0	0.0	0.0	3.0	False							6	3	3	True	True	True	True	True	True	0	0	0						
13	sp|P00815|HIS2_YEAST	P00815	HIS2_YEAST	HIS4	799	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Histidine biosynthesis trifunctional protein	1.0	0.999	5	8	8	8	0	0	1	2	4	1	0	0	1	2	4	1	0	0	1	2	4	1	3983547.0	1920465.5	4527323.0	4036900.2	10755360.0	1905630.9	1556267.0	1223975.1	1749959.9	1677850.6	4359526.5	1242739.2		P00815	P00815	False	P00815	False	87.67	sp|P00815|HIS2_YEAST Histidine biosynthesis trifunctional protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HIS4 PE=1 SV=3	35	1332606.1440376737	494210.5542526341	1173051.8406992608	1090371.5975915513	2825807.17541749	501416.336342231	6.6	True	20.11860184347448	20.37601762535948	21.063260135563393	20.814083425960046	21.586593967268406	20.552149361560954	0	0	0	False	False	False	False	False	False	6	3	3	20.519293201465786	20.9842755849298	0.2698362710373466	0.9965342103788666	20.751784393197795	0.4649823834640152
14	sp|P00817|IPYR_YEAST	P00817	IPYR_YEAST	IPP1	287	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Inorganic pyrophosphatase	1.0	0.999	11	55	49	55	10	10	6	8	11	10	9	9	5	7	10	9	10	10	6	8	11	10	209423520.0	158747970.0	84285090.0	137149300.0	161543070.0	153181710.0	77988480.0	57544308.0	30827066.0	49072936.0	67129070.0	58338590.0		P00817	P00817	False	P00817	False	32.28	sp|P00817|IPYR_YEAST Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IPP1 PE=1 SV=4	17	144236921.20777377	84107129.18625928	44961998.11001284	76267451.69816335	87382612.95967749	82982349.95218128	32.8	True	25.7657013749856	25.93104474257322	25.202063952985874	25.684324849953676	25.53128826925375	26.105004408625035	0	0	0	False	False	False	False	False	False	6	3	3	25.632936690181566	25.773539175944155	0.5849998980274103	0.9965342103788666	25.70323793306286	0.1406024857625887
15	sp|P00830|ATPB_YEAST	P00830	ATPB_YEAST	ATP2	511	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	ATP synthase subunit beta, mitochondrial	1.0	0.999	2	4	4	4	1	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	9336710.0	6901591.0	6088861.0	7826869.0	14929344.0	4885871.5	5698706.0	4228332.0	3705045.0	4832820.5	9087630.0	2968472.5		P00830	P00830	False	P00830	False	54.76	sp|P00830|ATPB_YEAST ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP2 PE=1 SV=2	27	4048834.413414213	2302284.58146147	2045107.1411370467	2740430.9426110373	5084667.720479428	1666502.6703893072	4.9	True	21.99114661183052	22.16453207520921	22.145429337247446	22.340334576992518	22.646326615942577	21.8083465439454	0	0	0	False	False	False	False	False	False	6	3	3	22.100369341429058	22.265002578960164	0.5082268437191868	0.9965342103788666	22.18268596019461	0.16463323753110615
16	sp|P00899|TRPE_YEAST	P00899	TRPE_YEAST	TRP2	507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Anthranilate synthase component 1	1.0	0.999	5	7	7	7	0	1	3	0	3	0	0	1	3	0	3	0	0	1	3	0	3	0	8845841.0	5502060.5	5207676.0	2780088.8	13383982.0	3912660.2	4421657.0	2834855.8	3135439.8	2425320.5	6277300.0	2283677.0		P00899	P00899	False	P00899	False	56.73	sp|P00899|TRPE_YEAST Anthranilate synthase component 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRP2 PE=1 SV=4	26	3983507.9747764086	1906011.708004335	1816412.0650988517	1010834.0945569995	4733666.008225911	1385882.8550058212	11.8	True	21.62509936252282	21.58771876834634	21.904606092519654	21.345644574042613	22.112566677544372	21.429984408350315	0	0	0	False	False	False	False	False	False	6	3	3	21.705808074462936	21.629398553312438	0.7701848265906754	0.9965342103788666	21.66760331388769	-0.0764095211504987
17	sp|P00924|ENO1_YEAST	P00924	ENO1_YEAST	ENO1	437	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Enolase 1	1.0	0.999	18	46	46	161	5	8	11	7	9	6	5	8	11	7	9	6	24	28	29	26	30	24	112540150.0	80542260.0	102784550.0	92552950.0	184566770.0	78256990.0	33033414.0	21276608.0	24379118.0	23738182.0	43849530.0	20977802.0		P00924	P00924	False	P00924	False	46.79	sp|P00924|ENO1_YEAST Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO1 PE=1 SV=3	20	65883612.4806893	36271654.53994335	46605976.589842185	43747660.37522903	84861192.9555916	36034697.5551239	15.3	True	24.52636642142248	24.49563968054723	24.8635122994533	24.636606710235743	24.916911992932032	24.62941741479309	0	0	0	False	False	False	False	False	False	6	3	3	24.628506133807672	24.727645372653623	0.5375145302123239	0.9965342103788666	24.678075753230647	0.09913923884595022
18	sp|P00925|ENO2_YEAST	P00925	ENO2_YEAST	ENO2	437	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Enolase 2	1.0	0.999	21	327	212	327	48	56	51	51	66	55	29	36	33	32	45	37	48	56	51	51	66	55	4976827000.0	4219172600.0	3702959000.0	4302079000.0	6659135000.0	4065927700.0	682463550.0	633950300.0	540477500.0	583492300.0	1013222300.0	614496640.0		P00925	P00925	False	P00925	False	46.89	sp|P00925|ENO2_YEAST Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2	20	2913549888.208177	1900075450.9693992	1679046320.3579278	2033494243.0187793	3061776180.7953486	1872222212.3608456	45.8	True	28.89512043114176	29.39266934772889	29.334029022010178	29.256038973072872	29.44715753821557	29.50188710783468	0	0	0	False	False	False	False	False	False	6	3	3	29.20727293362694	29.401694539707705	0.2978171248931243	0.9965342103788666	29.304483736667322	0.1944216060807662
19	sp|P00931|TRP_YEAST	P00931	TRP_YEAST	TRP5	707	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Tryptophan synthase	1.0	0.9973	4	11	11	11	2	1	1	1	5	1	2	1	1	1	5	1	2	1	1	1	5	1	12894107.0	8977721.0	7030569.0	10929134.0	18461780.0	6165131.0	8527407.0	5736078.5	5105472.5	7420053.5	12799557.0	4332327.0		P00931	P00931	False	P00931	False	76.58	sp|P00931|TRP_YEAST Tryptophan synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRP5 PE=1 SV=1	39	3871030.3190030437	2073361.5872570388	1634818.85279985	2649205.8505906044	4353059.2732588835	1455812.4847752594	5.7	True	22.572619362695118	22.604508184471335	22.60798275767485	22.958898754616015	23.140444492254424	22.353767936269875	0	0	0	False	False	False	False	False	False	6	3	3	22.595036768280433	22.81770372771344	0.350332963128646	0.9965342103788666	22.706370247996936	0.22266695943300618
