	Protein	Protein ID	Protein entry name	Gene name	Protein length	Organism	Protein Existence	Protein name	Protein Probability	Top Peptide Probability	Total peptides	Spectral count Combined	Unique spectral count Combined	Total spectral count Combined	Spectral count Ctrl_untreated_1	Spectral count Ctrl_untreated_2	Spectral count Ctrl_untreated_3	Spectral count GFP_Atg8_untreated_1	Spectral count GFP_Atg8_untreated_2	Spectral count GFP_Atg8_untreated_3	Unique spectral count Ctrl_untreated_1	Unique spectral count Ctrl_untreated_2	Unique spectral count Ctrl_untreated_3	Unique spectral count GFP_Atg8_untreated_1	Unique spectral count GFP_Atg8_untreated_2	Unique spectral count GFP_Atg8_untreated_3	Total spectral count Ctrl_untreated_1	Total spectral count Ctrl_untreated_2	Total spectral count Ctrl_untreated_3	Total spectral count GFP_Atg8_untreated_1	Total spectral count GFP_Atg8_untreated_2	Total spectral count GFP_Atg8_untreated_3	Intensity Ctrl_untreated_1	Intensity Ctrl_untreated_2	Intensity Ctrl_untreated_3	Intensity GFP_Atg8_untreated_1	Intensity GFP_Atg8_untreated_2	Intensity GFP_Atg8_untreated_3	LFQ intensity Ctrl_untreated_1	LFQ intensity Ctrl_untreated_2	LFQ intensity Ctrl_untreated_3	LFQ intensity GFP_Atg8_untreated_1	LFQ intensity GFP_Atg8_untreated_2	LFQ intensity GFP_Atg8_untreated_3	Indistinguishable Proteins	Protein reported by software	Representative protein	Potential contaminant	Leading proteins	Leading potential contaminants	Molecular weight [kDa]	Fasta header	iBAQ peptides	iBAQ intensity Ctrl_untreated_1	iBAQ intensity Ctrl_untreated_2	iBAQ intensity Ctrl_untreated_3	iBAQ intensity GFP_Atg8_untreated_1	iBAQ intensity GFP_Atg8_untreated_2	iBAQ intensity GFP_Atg8_untreated_3	Sequence coverage	Valid	Expression Ctrl_untreated_1	Expression Ctrl_untreated_2	Expression Ctrl_untreated_3	Expression GFP_Atg8_untreated_1	Expression GFP_Atg8_untreated_2	Expression GFP_Atg8_untreated_3	Missing total	Missing Ctrl_untreated	Missing GFP_Atg8_untreated	Missing Ctrl_untreated_1	Missing Ctrl_untreated_2	Missing Ctrl_untreated_3	Missing GFP_Atg8_untreated_1	Missing GFP_Atg8_untreated_2	Missing GFP_Atg8_untreated_3	Events total	Events Ctrl_untreated	Events GFP_Atg8_untreated	Expression Ctrl_untreated	Expression GFP_Atg8_untreated	P-value GFP_Atg8_untreated vs Ctrl_untreated	Adjusted p-value GFP_Atg8_untreated vs Ctrl_untreated	Average expression GFP_Atg8_untreated vs Ctrl_untreated	Ratio [log2] GFP_Atg8_untreated vs Ctrl_untreated
10	sp|P00817|IPYR_YEAST	P00817	IPYR_YEAST	IPP1	287	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Inorganic pyrophosphatase	1.0	0.999	6	12	8	12	0	0	4	1	4	3	0	0	3	0	3	2	0	0	4	1	4	3	26150172.0	24376258.0	34198190.0	27596038.0	44250656.0	28900562.0	12741946.0	11578677.0	19324684.0	13669753.0	24452638.0	14589027.0		P00817	P00817	False	P00817	False	32.28	sp|P00817|IPYR_YEAST Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IPP1 PE=1 SV=4	17	10599949.681786729	9575260.407657964	14629108.415416026	11061841.575832197	19519138.631093074	11741126.883680757	25.1	True	23.902937222540793	23.927785382786332	24.014930877990622	23.745277637162587	24.0478082178248	23.679602473331876	0	0	0	False	False	False	False	False	False	6	3	3	23.948551161105915	23.82422944277309	0.391766483313686	0.9841555191928069	23.8863903019395	-0.12432171833282624
11	sp|P00830|ATPB_YEAST	P00830	ATPB_YEAST	ATP2	511	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	ATP synthase subunit beta, mitochondrial	0.9643	0.999	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	808387.0	561562.1	1114580.9	734364.3	1419997.2	1085769.2	0.0	0.0	0.0	0.0	0.0	0.0		P00830	P00830	False	P00830	False	54.76	sp|P00830|ATPB_YEAST ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP2 PE=1 SV=2	27	206316.39085710622	138888.56878949126	300200.5553461373	185343.5228291849	394378.8174981983	277732.15780252573	3.3	False							6	3	3	True	True	True	True	True	True	0	0	0						
12	sp|P00924|ENO1_YEAST	P00924	ENO1_YEAST	ENO1	437	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Enolase 1	1.0	0.999	16	34	34	115	5	4	8	6	5	6	5	4	8	6	5	6	18	17	22	21	19	18	18764018.0	17513440.0	40560200.0	36088840.0	60000816.0	35630464.0	6173628.5	4969638.5	10894763.0	9937318.0	17260666.0	10084398.0		P00924	P00924	False	P00924	False	46.79	sp|P00924|ENO1_YEAST Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO1 PE=1 SV=3	20	6465081.7453101035	5847549.95368072	14748021.128554277	12296246.154075546	22496606.799689054	12303931.284663478	15.1	True	22.857542170129456	22.70752778152851	23.188120867829742	23.285218900136545	23.545306235140085	23.146843769058624	0	0	0	False	False	False	False	False	False	6	3	3	22.917730273162565	23.325789634778417	0.07085610789780694	0.9841555191928069	23.12175995397049	0.40805936161585166
13	sp|P00925|ENO2_YEAST	P00925	ENO2_YEAST	ENO2	437	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Enolase 2	1.0	0.999	22	331	250	331	50	52	62	57	56	54	37	39	48	42	42	42	50	52	62	57	56	54	1422182300.0	1222245400.0	2027476100.0	1850849900.0	2429842200.0	1971245200.0	145671580.0	134211850.0	232649330.0	202107230.0	277641600.0	212263000.0		P00925	P00925	False	P00925	False	46.89	sp|P00925|ENO2_YEAST Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2	20	490008314.1165787	408094642.2950873	737206926.0121701	630624480.1619035	911041019.1536632	680711468.8717698	53.3	True	27.41799912921323	27.462755117193673	27.604571182016777	27.631339489356705	27.55296994637594	27.542499814821497	0	0	0	False	False	False	False	False	False	6	3	3	27.495108476141226	27.575603083518047	0.4317897720787339	0.9841555191928069	27.535355779829636	0.08049460737682068
14	sp|P00942|TPIS_YEAST	P00942	TPIS_YEAST	TPI1	248	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Triosephosphate isomerase	1.0	0.999	10	65	65	65	11	12	10	10	9	13	11	12	10	10	9	13	11	12	10	10	9	13	180672640.0	159506540.0	189443730.0	191215800.0	193127280.0	235366910.0	47795760.0	42944310.0	50926156.0	51486130.0	54166364.0	69456460.0		P00942	P00942	False	P00942	False	26.78	sp|P00942|TPIS_YEAST Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPI1 PE=1 SV=2	12	103750290.11563373	88762540.90085213	114805488.00351624	108585578.68805975	120684705.36726956	135461716.47402504	38.7	True	25.81023423532548	25.818781955915906	25.412892878871233	25.65847429494587	25.195215354343727	25.93082768840843	0	0	0	False	False	False	False	False	False	6	3	3	25.68063635670421	25.594839112566007	0.7186355960901392	0.9841555191928069	25.63773773463511	-0.08579724413820244
15	sp|P00950|PMG1_YEAST	P00950	PMG1_YEAST	GPM1	247	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Phosphoglycerate mutase 1	1.0	0.999	12	86	86	86	16	13	13	14	14	16	16	13	13	14	14	16	16	13	13	14	14	16	155589400.0	146529680.0	149277920.0	178296780.0	196051920.0	203456210.0	22618858.0	20802872.0	20961544.0	25855556.0	28856298.0	29630034.0		P00950	P00950	False	P00950	False	27.59	sp|P00950|PMG1_YEAST Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPM1 PE=1 SV=3	14	76582606.87356527	69892414.33981566	77540964.44250539	86785083.51529384	105010547.0128486	100368013.62203753	50.6	True	24.730877685232272	24.773097682422282	24.13223104262845	24.66476479115747	24.286704330472194	24.701779087684724	0	0	0	False	False	False	False	False	False	6	3	3	24.545402136761002	24.55108273643813	0.9805291126084863	0.9866179293310547	24.548242436599566	0.005680599677127418
16	sp|P02293|H2B1_YEAST	P02293	H2B1_YEAST	HTB1	131	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Histone H2B.1	1.0	0.999	4	37	0	37	6	5	7	7	5	7	0	0	0	0	0	0	6	5	7	7	5	7	120128270.0	126526280.0	185548350.0	159461200.0	154752200.0	116008220.0	76167704.0	66173220.0	92715110.0	82921384.0	86779000.0	99567790.0	sp|P02294|H2B2_YEAST	P02293	P02293	False	P02293;P02294	False;False	14.24	sp|P02293|H2B1_YEAST Histone H2B.1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HTB1 PE=1 SV=2	9	91977349.11487192	93879486.93541695	149926446.0217095	120737489.128635	128938964.75551787	89022270.83830556	27.5	True	26.48253100181997	26.44256244796091	26.277290532226537	26.34603465813093	25.875164064712607	26.450397914444828	0	0	0	False	False	False	False	False	False	6	3	3	26.40079466066914	26.223865545762788	0.3550603500914424	0.9841555191928069	26.312330103215963	-0.17692911490635055
17	sp|P02406|RL28_YEAST	P02406	RL28_YEAST	RPL28	149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	60S ribosomal protein L28	1.0	0.999	13	161	161	161	28	27	24	28	26	28	28	27	24	28	26	28	28	27	24	28	26	28	2586531000.0	2398081300.0	2563131100.0	2797941200.0	2783286500.0	3581580500.0	574236900.0	691090600.0	706892160.0	753516860.0	817272400.0	898240060.0		P02406	P02406	False	P02406	False	16.71	sp|P02406|RL28_YEAST 60S ribosomal protein L28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL28 PE=1 SV=3	9	1980401988.503112	1779319221.8519163	2071056608.753001	2118486473.3086166	2319024090.953206	2748429631.108846	60.4	True	29.396925728901916	29.827117916005886	29.207904291034062	29.529858349658443	29.11056321255204	29.62374796613317	0	0	0	False	False	False	False	False	False	6	3	3	29.477315978647287	29.42138984278122	0.8092774235282703	0.9841555191928069	29.449352910714254	-0.05592613586606632
18	sp|P02407|RS17A_YEAST	P02407	RS17A_YEAST	RPS17A	136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	40S ribosomal protein S17-A	1.0	0.999	9	92	0	92	18	14	17	14	15	14	0	0	0	0	0	0	18	14	17	14	15	14	288078200.0	229718610.0	409307230.0	296921440.0	367302980.0	312079870.0	79495130.0	61847936.0	102530640.0	76352090.0	90627140.0	87487900.0	sp|P14127|RS17B_YEAST	P02407	P02407	False	P02407;P14127	False;False	15.78	sp|P02407|RS17A_YEAST 40S ribosomal protein S17-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS17A PE=1 SV=1	6	330854708.5600737	255668607.89296666	496091544.2650698	337225128.75287515	459053241.1767008	359225303.73696613	60.3	True	26.54421807534791	26.345040415052093	26.422469255230986	26.226958110892998	25.93776126050985	26.2638023049498	0	0	0	False	False	False	False	False	False	6	3	3	26.437242581876998	26.142840558784215	0.06094918477013359	0.9841555191928069	26.290041570330608	-0.2944020230927826
19	sp|P02994|EF1A_YEAST	P02994	EF1A_YEAST	TEF2	458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Elongation factor 1-alpha	1.0	0.999	25	221	221	221	31	30	47	33	46	34	31	30	47	33	46	34	31	30	47	33	46	34	676660800.0	619389250.0	1289940500.0	945579260.0	1605386000.0	980520800.0	95987020.0	88006300.0	175531600.0	125237950.0	220566900.0	135421920.0		P02994	P02994	False	P02994	False	50.0	sp|P02994|EF1A_YEAST Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEF2 PE=1 SV=1	22	211946628.42307743	188006757.83065286	426393579.47799855	292890225.62473863	547200703.5814254	307812707.3400208	56.1	True	26.81619092232455	26.853921768817663	27.19814492414927	26.940890355595098	27.220962503315015	26.894108179713164	0	0	0	False	False	False	False	False	False	6	3	3	26.95608587176383	27.018653679541092	0.7000640655920193	0.9841555191928069	26.98736977565246	0.06256780777726334
20	sp|P04147|PABP_YEAST	P04147	PABP_YEAST	PAB1	577	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Polyadenylate-binding protein, cytoplasmic and nuclear	0.9998	0.999	2	6	6	6	1	0	1	1	2	1	1	0	1	1	2	1	1	0	1	1	2	1	923673.25	1097755.1	1679907.0	1657107.0	2269715.0	1471434.0	0.0	0.0	0.0	0.0	0.0	0.0		P04147	P04147	False	P04147	False	64.3	sp|P04147|PABP_YEAST Polyadenylate-binding protein, cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAB1 PE=1 SV=4	32	198905.39526256634	229080.41567496787	381767.4704822435	352882.5596715229	531876.9946224174	317572.74522718677	4.3	False							6	3	3	True	True	True	True	True	True	0	0	0						
21	sp|P04449|RL24A_YEAST	P04449	RL24A_YEAST	RPL24A	155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	60S ribosomal protein L24-A	1.0	0.999	11	68	8	68	12	12	12	9	11	12	2	1	2	0	2	1	12	12	12	9	11	12	201080960.0	236352860.0	211462460.0	212541060.0	246155360.0	287728450.0	108459740.0	104209870.0	94026360.0	107336504.0	118654830.0	147623730.0		P04449	P04449	False	P04449	False	17.6	sp|P04449|RL24A_YEAST 60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL24A PE=1 SV=1	5	277127179.0136699	315662749.41880196	307557933.9328764	289669292.95684093	369172335.6266293	397434181.8779269	35.5	True	26.992439305995674	27.097734985458317	26.297551323402956	26.718359361795727	26.32651702679747	27.01857154904027	0	0	0	False	False	False	False	False	False	6	3	3	26.795908538285648	26.687815979211155	0.7138339321719517	0.9841555191928069	26.7418622587484	-0.10809255907449256
